Custom Data3;Custom Data2;Custom Data1;Iteration;Method;Distance;SP Distance;SP Factor;Time;Battery;Launched Drones;Failed Drones;Station Count;Failed Stations;Sensor Count;Failed Sensors;Visited Stations;Read Sensors;Success Factor;Message
;;;1;Centered;2314,6;445,9;0,193;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;2;Centered;2893,9;835,1;0,289;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;3;Centered;2343,0;905,1;0,386;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;4;Centered;1374,1;465,2;0,339;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;5;Centered;1836,1;356,7;0,194;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;6;Centered;2460,7;1065,2;0,433;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;7;Centered;1835,5;562,1;0,306;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;8;Centered;2165,7;306,7;0,142;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;9;Centered;1413,2;568,1;0,402;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;10;Centered;1654,8;729,2;0,441;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;2423,2;554,5;0,229;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;2895,3;836,5;0,289;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;2747,5;1309,6;0,477;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;1444,4;535,5;0,371;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;2189,0;709,6;0,324;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;2461,6;1066,1;0,433;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;2189,5;916,1;0,418;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;2167,8;308,9;0,142;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;1415,8;570,8;0,403;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;2999,5;2073,9;0,691;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;1;Centered;1470,8;877,1;0,596;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;2;Centered;2440,6;1284,6;0,526;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;3;Centered;1639,3;1137,7;0,694;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;4;Centered;3099,5;1656,3;0,534;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;5;Centered;1753,3;908,1;0,518;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;6;Centered;2858,2;2015,8;0,705;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;7;Centered;1784,3;1515,5;0,849;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;8;Centered;2844,2;1487,6;0,523;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;9;Centered;2875,4;1697,1;0,590;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;10;Centered;1505,0;928,9;0,617;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;2330,5;1736,8;0,745;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;2555,7;1399,6;0,548;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;1924,5;1422,9;0,739;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;4299,2;2856,0;0,664;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;2233,1;1387,9;0,622;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;3566,0;2723,6;0,764;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;1821,5;1552,7;0,852;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;3704,4;2347,8;0,634;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;3155,0;1976,6;0,627;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;1530,2;954,1;0,623;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;1;Centered;2125,9;1948,1;0,916;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;2;Centered;2679,5;2051,1;0,765;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;3;Centered;1538,7;1140,7;0,741;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;4;Centered;2574,0;1896,6;0,737;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;5;Centered;1469,6;1256,8;0,855;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;6;Centered;2156,9;1667,7;0,773;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;7;Centered;2848,7;2175,0;0,763;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;8;Centered;2093,3;1776,1;0,848;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;9;Centered;873,2;656,5;0,752;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;10;Centered;2115,8;1609,1;0,761;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;4219,2;4041,5;0,958;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;2850,8;2222,4;0,780;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;2201,3;1803,3;0,819;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;4705,5;4028,1;0,856;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;4089,8;3876,9;0,948;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;4840,4;4351,2;0,899;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;3919,7;3245,9;0,828;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;3942,0;3624,8;0,920;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;1803,4;1586,7;0,880;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;2445,3;1938,6;0,793;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;1;Centered;2952,1;1885,4;0,639;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;2;Centered;1287,2;965,5;0,750;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;3;Centered;2833,4;2118,0;0,747;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;4;Centered;2846,5;2193,2;0,770;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;5;Centered;920,4;677,2;0,736;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;6;Centered;3397,7;2850,1;0,839;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;7;Centered;2427,8;1979,6;0,815;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;8;Centered;3063,8;2709,8;0,884;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;9;Centered;3695,5;2422,6;0,656;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;10;Centered;2614,1;1934,4;0,740;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;3119,1;2052,4;0,658;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;2172,3;1850,6;0,852;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;3964,6;3249,1;0,820;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;3755,9;3102,5;0,826;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;6504,0;6260,8;0,963;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;3683,3;3135,7;0,851;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;3246,6;2798,4;0,862;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;5064,0;4710,0;0,930;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;3724,5;2451,6;0,658;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;4284,8;3605,2;0,841;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;1;Centered;4100,7;4100,7;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;2;Centered;2482,6;2482,6;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;3;Centered;4035,9;4035,9;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;4;Centered;2952,4;2952,4;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;5;Centered;2647,5;2647,5;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;6;Centered;2100,1;2100,1;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;7;Centered;3607,6;3607,6;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;8;Centered;2482,9;2482,9;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;9;Centered;1960,1;1960,1;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;10;Centered;3605,7;3605,7;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;4541,0;4541,0;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;8227,7;8227,7;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;4663,5;4663,5;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;6625,4;6625,4;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;8774,9;8774,9;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;4760,9;4760,9;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;3643,3;3643,3;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;3937,9;3937,9;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;10474,1;10474,1;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;4171,5;4171,5;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;1;Centered;2272,0;2272,0;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;2;Centered;3551,6;3551,6;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;3;Centered;4459,5;4459,5;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;4;Centered;4206,4;4206,4;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;5;Centered;2703,9;2703,9;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;6;Centered;3275,3;3275,3;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;7;Centered;3410,3;3410,3;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;8;Centered;6119,7;6119,7;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;9;Centered;3898,9;3898,9;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;10;Centered;3851,0;3851,0;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;3693,5;3693,5;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;7875,1;7875,1;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;5953,4;5953,4;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;6305,4;6305,4;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;2909,3;2909,3;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;9518,2;9518,2;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;5101,8;5101,8;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;8245,2;8245,2;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;4783,3;4783,3;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;3974,1;3974,1;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;1;Centered;3936,8;3936,8;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;2;Centered;4607,6;4607,6;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;3;Centered;4267,3;4267,3;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;4;Centered;2647,6;2647,6;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;5;Centered;2951,5;2951,5;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;6;Centered;3551,5;3551,5;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;7;Centered;4150,7;4150,7;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;8;Centered;3354,0;3354,0;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;9;Centered;2082,4;2082,4;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;10;Centered;4175,3;4175,3;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;5210,1;5210,1;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;4683,4;4683,4;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;5381,3;5381,3;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;5600,3;5600,3;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;3944,4;3944,4;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;4433,3;4433,3;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;7325,5;7325,5;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;4709,4;4709,4;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;8395,0;8395,0;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;4941,9;4941,9;1,000;0,0;0,0;7;0;5;0;0;0;0;0;0,0;
;;;1;Centered;3867,8;3867,8;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;2;Centered;1410,4;1410,4;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;3;Centered;4300,9;4300,9;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;4;Centered;1904,1;1904,1;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;5;Centered;3044,0;3044,0;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;6;Centered;3782,7;3782,7;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;7;Centered;3874,2;3874,2;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;8;Centered;4167,1;4167,1;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;9;Centered;2087,7;2087,7;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;10;Centered;4680,3;4680,3;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;4204,0;4204,0;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;5511,0;5511,0;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;4792,7;4792,7;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;2837,3;2837,3;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;3058,8;3058,8;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;8203,2;8203,2;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;4097,5;4097,5;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;4334,7;4334,7;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;9028,5;9028,5;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;4943,8;4943,8;1,000;0,0;0,0;8;0;5;0;0;0;0;0;0,0;
;;;1;Centered;2050,3;2050,3;1,000;0,0;0,0;9;0;5;0;0;0;0;0;0,0;
;;;2;Centered;2927,1;2927,1;1,000;0,0;0,0;9;0;5;0;0;0;0;0;0,0;
;;;3;Centered;3159,3;3159,3;1,000;0,0;0,0;9;0;5;0;0;0;0;0;0,0;
;;;4;Centered;2404,6;2404,6;1,000;0,0;0,0;9;0;5;0;0;0;0;0;0,0;
;;;5;Centered;2688,2;2688,2;1,000;0,0;0,0;9;0;5;0;0;0;0;0;0,0;
;;;6;Centered;3053,0;3053,0;1,000;0,0;0,0;9;0;5;0;0;0;0;0;0,0;
;;;7;Centered;3118,6;3118,6;1,000;0,0;0,0;9;0;5;0;0;0;0;0;0,0;
;;;8;Centered;2114,6;2114,6;1,000;0,0;0,0;9;0;5;0;0;0;0;0;0,0;
;;;9;Centered;3948,8;3948,8;1,000;0,0;0,0;9;0;5;0;0;0;0;0;0,0;
;;;10;Centered;5062,2;5062,2;1,000;0,0;0,0;9;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;4331,5;4331,5;1,000;0,0;0,0;9;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;4642,1;4642,1;1,000;0,0;0,0;9;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;5697,3;5697,3;1,000;0,0;0,0;9;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;8025,6;8025,6;1,000;0,0;0,0;9;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;4513,4;4513,4;1,000;0,0;0,0;9;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;3133,3;3133,3;1,000;0,0;0,0;9;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;5438,8;5438,8;1,000;0,0;0,0;9;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;3756,9;3756,9;1,000;0,0;0,0;9;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;5311,6;5311,6;1,000;0,0;0,0;9;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;7246,0;7246,0;1,000;0,0;0,0;9;0;5;0;0;0;0;0;0,0;
;;;1;Centered;3435,9;3435,9;1,000;0,0;0,0;10;0;5;0;0;0;0;0;0,0;
;;;2;Centered;1925,0;1925,0;1,000;0,0;0,0;10;0;5;0;0;0;0;0;0,0;
;;;3;Centered;2405,4;2405,4;1,000;0,0;0,0;10;0;5;0;0;0;0;0;0,0;
;;;4;Centered;1983,7;1983,7;1,000;0,0;0,0;10;0;5;0;0;0;0;0;0,0;
;;;5;Centered;2699,7;2699,7;1,000;0,0;0,0;10;0;5;0;0;0;0;0;0,0;
;;;6;Centered;4295,8;4295,8;1,000;0,0;0,0;10;0;5;0;0;0;0;0;0,0;
;;;7;Centered;4647,8;4647,8;1,000;0,0;0,0;10;0;5;0;0;0;0;0;0,0;
;;;8;Centered;3716,6;3716,6;1,000;0,0;0,0;10;0;5;0;0;0;0;0;0,0;
;;;9;Centered;4275,1;4275,1;1,000;0,0;0,0;10;0;5;0;0;0;0;0;0,0;
;;;10;Centered;3046,0;3046,0;1,000;0,0;0,0;10;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;3741,3;3741,3;1,000;0,0;0,0;10;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;4106,3;4106,3;1,000;0,0;0,0;10;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;6821,5;6821,5;1,000;0,0;0,0;10;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;3046,8;3046,8;1,000;0,0;0,0;10;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;6513,0;6513,0;1,000;0,0;0,0;10;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;8225,2;8225,2;1,000;0,0;0,0;10;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;5310,5;5310,5;1,000;0,0;0,0;10;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;4358,0;4358,0;1,000;0,0;0,0;10;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;5482,7;5482,7;1,000;0,0;0,0;10;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;4984,3;4984,3;1,000;0,0;0,0;10;0;5;0;0;0;0;0;0,0;
;;;1;Centered;3250,7;851,1;0,262;0,0;0,0;1;0;10;0;0;0;0;0;0,0;
;;;2;Centered;3357,8;271,5;0,081;0,0;0,0;1;0;10;0;0;0;0;0;0,0;
;;;3;Centered;3210,1;357,0;0,111;0,0;0,0;1;0;10;0;0;0;0;0;0,0;
;;;4;Centered;3061,5;336,1;0,110;0,0;0,0;1;0;10;0;0;0;0;0;0,0;
;;;5;Centered;2849,0;469,3;0,165;0,0;0,0;1;0;10;0;0;0;0;0;0,0;
